id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds,team_win_flag,team_margin,win_rate_last_3,avg_score_for_last_3,avg_score_against_last_3,win_rate_last_5,avg_score_for_last_5,avg_score_against_last_5,win_rate_last_10,avg_score_for_last_10,avg_score_against_last_10,win_streak_before_match,days_rest,pair_key,pair_first_team,pair_win,pair_margin,h2h_win_rate_before,h2h_avg_margin_before,match_points,prior_points,prior_score_for,prior_score_against,prior_percentage,ladder_position_before,feature_version
10725,Carlton Blues,4,1983-04-16,1983,A,Melbourne Demons,1.6 6.13 13.14 14.15,99,4.2 9.2 11.6 13.12,90,W,9,Melbourne Cricket Ground,38544.0,14,15,13,12,1.0,9,0.6666666666666666,105.0,87.33333333333333,0.6666666666666666,105.0,87.33333333333333,0.6666666666666666,105.0,87.33333333333333,1,7.0,Carlton Blues|Melbourne Demons,Carlton Blues,1.0,9,,,4,8,315,262,120.22900763358778,3.0,v1.0
11123,Collingwood Magpies,4,1983-04-16,1983,A,Essendon Bombers,5.3 6.7 9.10 17.15,117,2.6 9.13 19.17 20.21,141,L,-24,Windy Hill,28250.0,17,15,20,21,0.0,-24,0.3333333333333333,106.0,107.66666666666667,0.3333333333333333,106.0,107.66666666666667,0.3333333333333333,106.0,107.66666666666667,0,7.0,Collingwood Magpies|Essendon Bombers,Collingwood Magpies,0.0,-24,,,0,4,318,323,98.45201238390094,7.0,v1.0
11507,Essendon Bombers,4,1983-04-16,1983,H,Collingwood Magpies,2.6 9.13 19.17 20.21,141,5.3 6.7 9.10 17.15,117,W,24,"Windy Hill
",28250.0,20,21,17,15,1.0,24,0.3333333333333333,99.0,92.66666666666667,0.3333333333333333,99.0,92.66666666666667,0.3333333333333333,99.0,92.66666666666667,0,7.0,Collingwood Magpies|Essendon Bombers,Collingwood Magpies,1.0,-24,0.0,-24.0,4,4,297,278,106.83453237410072,7.0,v1.0
11908,Fitzroy Lions,4,1983-04-16,1983,H,sydney swans,3.6 6.11 8.17 17.23,125,0.7 1.11 4.14 6.16,52,W,73,Junction Oval,10738.0,17,23,6,16,1.0,73,0.6666666666666666,99.0,76.66666666666667,0.6666666666666666,99.0,76.66666666666667,0.6666666666666666,99.0,76.66666666666667,2,7.0,Fitzroy Lions|sydney swans,Fitzroy Lions,1.0,73,,,4,8,297,230,129.1304347826087,3.0,v1.0
12330,Geelong Cats,4,1983-04-16,1983,A,St Kilda Saints,2.4 7.5 10.9 13.12,90,5.2 7.4 8.7 11.13,79,W,11,Waverley Park,20826.0,13,12,11,13,1.0,11,1.0,100.33333333333333,72.33333333333333,1.0,100.33333333333333,72.33333333333333,1.0,100.33333333333333,72.33333333333333,3,7.0,Geelong Cats|St Kilda Saints,Geelong Cats,1.0,11,,,4,12,301,217,138.70967741935485,1.0,v1.0
12723,Hawthorn Hawks,4,1983-04-16,1983,H,Western Bulldogs,2.4 3.11 7.19 12.25,97,4.5 8.8 9.15 17.16,118,L,-21,Princes Park,16504.0,12,25,17,16,0.0,-21,1.0,124.0,66.33333333333333,1.0,124.0,66.33333333333333,1.0,124.0,66.33333333333333,3,7.0,Hawthorn Hawks|Western Bulldogs,Hawthorn Hawks,0.0,-21,,,0,12,372,199,186.93467336683418,1.0,v1.0
13517,Melbourne Demons,4,1983-04-16,1983,H,Carlton Blues,4.2 9.2 11.6 13.12,90,1.6 6.13 13.14 14.15,99,L,-9,Melbourne Cricket Ground,38544.0,13,12,14,15,0.0,-9,0.3333333333333333,107.66666666666667,115.33333333333333,0.3333333333333333,107.66666666666667,115.33333333333333,0.3333333333333333,107.66666666666667,115.33333333333333,0,7.0,Carlton Blues|Melbourne Demons,Carlton Blues,0.0,9,1.0,9.0,0,4,323,346,93.35260115606937,7.0,v1.0
13123,North Melbourne Kangaroos,4,1983-04-16,1983,H,Richmond Tigers,1.3 6.9 12.12 18.19,127,5.5 8.7 10.16 14.19,103,W,24,Aegis Park,14970.0,18,19,14,19,1.0,24,0.6666666666666666,109.33333333333333,73.33333333333333,0.6666666666666666,109.33333333333333,73.33333333333333,0.6666666666666666,109.33333333333333,73.33333333333333,1,6.0,North Melbourne Kangaroos|Richmond Tigers,North Melbourne Kangaroos,1.0,24,,,4,8,328,220,149.0909090909091,3.0,v1.0
13975,Richmond Tigers,4,1983-04-16,1983,A,North Melbourne Kangaroos,5.5 8.7 10.16 14.19,103,1.3 6.9 12.12 18.19,127,L,-24,Aegis Park,14970.0,14,19,18,19,0.0,-24,0.0,74.0,116.33333333333333,0.0,74.0,116.33333333333333,0.0,74.0,116.33333333333333,0,7.0,North Melbourne Kangaroos|Richmond Tigers,North Melbourne Kangaroos,0.0,24,1.0,24.0,0,0,222,349,63.61031518624642,11.0,v1.0
14350,St Kilda Saints,4,1983-04-16,1983,H,Geelong Cats,5.2 7.4 8.7 11.13,79,2.4 7.5 10.9 13.12,90,L,-11,Waverley Park,20826.0,11,13,13,12,0.0,-11,0.0,66.33333333333333,134.0,0.0,66.33333333333333,134.0,0.0,66.33333333333333,134.0,0,7.0,Geelong Cats|St Kilda Saints,Geelong Cats,0.0,11,1.0,11.0,0,0,199,402,49.50248756218905,11.0,v1.0
14730,Sydney Swans,4,1983-04-16,1983,A,Fitzroy Lions,0.7 1.11 4.14 6.16,52,3.6 6.11 8.17 17.23,125,L,-73,Junction Oval,10738.0,6,16,17,23,0.0,-73,0.3333333333333333,67.0,121.66666666666667,0.3333333333333333,67.0,121.66666666666667,0.3333333333333333,67.0,121.66666666666667,0,6.0,Fitzroy Lions|Sydney Swans,Fitzroy Lions,0.0,73,,,0,4,201,365,55.06849315068493,7.0,v1.0
15423,W. Bulldogs,4,1983-04-16,1983,A,Hawthorn Hawks,4.5 8.8 9.15 17.16,118,2.4 3.11 7.19 12.25,97,W,21,Princes Park,16504.0,17,16,12,25,1.0,21,0.6666666666666666,95.0,89.0,0.6666666666666666,95.0,89.0,0.6666666666666666,95.0,89.0,2,7.0,Hawthorn Hawks|W. Bulldogs,Hawthorn Hawks,1.0,-21,,,4,8,285,267,106.74157303370787,3.0,v1.0
10726,Carlton Blues,5,1983-04-23,1983,H,Fitzroy Lions,2.4 6.7 7.11 9.11,65,1.7 6.9 14.13 18.17,125,L,-60,Princes Park,25789.0,9,11,18,17,0.0,-60,0.6666666666666666,92.66666666666667,92.0,0.75,103.5,88.0,0.75,103.5,88.0,2,7.0,Carlton Blues|Fitzroy Lions,Carlton Blues,0.0,-60,,,0,12,414,352,117.61363636363636,1.0,v1.0
11124,Collingwood Magpies,5,1983-04-23,1983,H,Hawthorn Hawks,3.3 4.10 5.14 9.19,73,5.1 7.8 12.9 14.11,95,L,-22,Victoria Park,28506.0,9,19,14,11,0.0,-22,0.0,100.0,113.0,0.25,108.75,116.0,0.25,108.75,116.0,0,7.0,Collingwood Magpies|Hawthorn Hawks,Collingwood Magpies,0.0,-22,,,0,4,435,464,93.75,4.0,v1.0
11909,Fitzroy Lions,5,1983-04-23,1983,A,Carlton Blues,1.7 6.9 14.13 18.17,125,2.4 6.7 7.11 9.11,65,W,60,Princes Park,25789.0,18,17,9,11,1.0,60,1.0,103.33333333333333,50.333333333333336,0.75,105.5,70.5,0.75,105.5,70.5,3,7.0,Carlton Blues|Fitzroy Lions,Carlton Blues,1.0,-60,0.0,-60.0,4,12,422,282,149.645390070922,1.0,v1.0
12724,Hawthorn Hawks,5,1983-04-23,1983,A,Collingwood Magpies,5.1 7.8 12.9 14.11,95,3.3 4.10 5.14 9.19,73,W,22,Victoria Park,28506.0,14,11,9,19,1.0,22,0.6666666666666666,112.66666666666667,68.33333333333333,0.75,117.25,79.25,0.75,117.25,79.25,0,7.0,Collingwood Magpies|Hawthorn Hawks,Collingwood Magpies,1.0,-22,0.0,-22.0,4,12,469,317,147.9495268138801,1.0,v1.0
14351,St Kilda Saints,5,1983-04-24,1983,A,sydney swans,4.4 8.8 16.10 21.11,137,8.3 13.8 17.12 24.16,160,L,-23,Sydney Cricket Ground,11276.0,21,11,24,16,0.0,-23,0.0,63.666666666666664,130.66666666666666,0.0,69.5,123.0,0.0,69.5,123.0,0,8.0,St Kilda Saints|sydney swans,St Kilda Saints,0.0,-23,,,0,0,278,492,56.50406504065041,2.0,v1.0
14731,Sydney Swans,5,1983-04-24,1983,H,St Kilda Saints,8.3 13.8 17.12 24.16,160,4.4 8.8 16.10 21.11,137,W,23,Sydney Cricket Ground,11276.0,24,16,21,11,1.0,23,0.0,47.333333333333336,126.66666666666667,0.25,63.25,122.5,0.25,63.25,122.5,0,8.0,St Kilda Saints|Sydney Swans,St Kilda Saints,1.0,-23,,,4,4,253,490,51.63265306122449,1.0,v1.0
11508,Essendon Bombers,5,1983-04-25,1983,H,North Melbourne Kangaroos,4.2 10.6 14.7 20.8,128,2.6 6.10 14.15 17.21,123,W,5,Waverley Park,47722.0,20,8,17,21,1.0,5,0.6666666666666666,109.33333333333333,94.66666666666667,0.5,109.5,98.75,0.5,109.5,98.75,1,9.0,Essendon Bombers|North Melbourne Kangaroos,Essendon Bombers,1.0,5,,,4,8,438,395,110.88607594936708,4.0,v1.0
12331,Geelong Cats,5,1983-04-25,1983,H,melbourne demons,7.2 10.4 13.8 16.14,110,1.2 6.8 15.13 18.13,121,L,-11,GMHBA Stadium,28591.0,16,14,18,13,0.0,-11,1.0,95.0,73.66666666666667,1.0,97.75,74.0,1.0,97.75,74.0,4,9.0,Geelong Cats|melbourne demons,Geelong Cats,0.0,-11,,,0,16,391,296,132.09459459459458,1.0,v1.0
13518,Melbourne Demons,5,1983-04-25,1983,A,Geelong Cats,1.2 6.8 15.13 18.13,121,7.2 10.4 13.8 16.14,110,W,11,GMHBA Stadium,28591.0,18,13,16,14,1.0,11,0.3333333333333333,96.0,103.33333333333333,0.25,103.25,111.25,0.25,103.25,111.25,0,9.0,Geelong Cats|Melbourne Demons,Geelong Cats,1.0,-11,,,4,4,413,445,92.80898876404494,5.0,v1.0
13124,North Melbourne Kangaroos,5,1983-04-25,1983,A,Essendon Bombers,2.6 6.10 14.15 17.21,123,4.2 10.6 14.7 20.8,128,L,-5,Waverley Park,47722.0,17,21,20,8,0.0,-5,0.6666666666666666,118.33333333333333,78.66666666666667,0.75,113.75,80.75,0.75,113.75,80.75,2,9.0,Essendon Bombers|North Melbourne Kangaroos,Essendon Bombers,0.0,5,1.0,5.0,0,12,455,323,140.86687306501548,2.0,v1.0
13976,Richmond Tigers,5,1983-04-25,1983,H,western bulldogs,0.3 8.8 13.11 17.12,114,10.3 12.3 16.5 18.8,116,L,-2,Melbourne Cricket Ground,51651.0,17,12,18,8,0.0,-2,0.0,83.0,113.33333333333333,0.0,81.25,119.0,0.0,81.25,119.0,0,9.0,Richmond Tigers|western bulldogs,Richmond Tigers,0.0,-2,,,0,0,325,476,68.27731092436974,6.0,v1.0
15424,W. Bulldogs,5,1983-04-25,1983,A,Richmond Tigers,10.3 12.3 16.5 18.8,116,0.3 8.8 13.11 17.12,114,W,2,Melbourne Cricket Ground,51651.0,18,8,17,12,1.0,2,1.0,109.33333333333333,86.0,0.75,100.75,91.0,0.75,100.75,91.0,3,9.0,Richmond Tigers|W. Bulldogs,Richmond Tigers,1.0,-2,,,4,12,403,364,110.71428571428571,2.0,v1.0
